HSOAQ,AP880721-0095,trader,True
HSOAQ,WTX018-B20-194,battlax,True
HSOAQ,WTX016-B14-3,western,False
HSOAQ,FBIS3-41598,giannini,True
HSOAQ,AP880622-0299,repertoire,True
HSOAQ,AP890629-0038,snowbird,True
HSOAQ,AP880802-0131,bytes,True
HSOAQ,AP880321-0151,liberian,True
HSOAQ,FBIS3-22836,dose,False
HSOAQ,FT923-8257,rule,True
HSOAQ,AP880321-0121,side,True
HSOAQ,WTX003-B02-184,seating,False
HSOAQ,AP890713-0202,hms,True
HSOAQ,AP880706-0326,tnt,True
HSOAQ,FR940111-2-00031,mccaw,True
HSOAQ,GX005-53-8274005,quigg,True
HSOAQ,LA111190-0027,nationwide,True
HSOAQ,FBIS3-48894,entertainment,True
HSOAQ,FT943-8528,tridelphia,True
HSOAQ,AP880629-0144,stairs,True
HSOAQ,LA122289-0076,154bn,True
HSOAQ,WTX061-B36-181,expenses,False
HSOAQ,AP880803-0103,stick,False
VXDPZ,WTX099-B24-354,declassified,False
VXDPZ,AP890424-0284,vat,True
VXDPZ,AP890308-0220,scrapie,True
VXDPZ,WTX026-B08-107,chromatography,True
VXDPZ,AP890512-0173,aoun,True
VXDPZ,GX249-32-15302501,deq,False
VXDPZ,WTX075-B46-114,grigsby,False
VXDPZ,LA040789-0040,sequencing,True
VXDPZ,FT922-3424,nabbed,True
VXDPZ,AP881123-0283,czar,True
VXDPZ,AP891215-0107,aupe,True
VXDPZ,AP880930-0069,pipeline,True
VXDPZ,AP880827-0141,barre,True
VXDPZ,WTX042-B24-60,signify,True
VXDPZ,FT924-2507,penalised,True
VXDPZ,AP891104-0005,polluters,True
VXDPZ,AP881206-0121,expertise,True
VXDPZ,AP880220-0009,zaremba,False
VXDPZ,FT931-4409,australian,True
VXDPZ,WTX027-B07-9,medicinal,True
VXDPZ,GX244-07-12005999,haartz,False
VXDPZ,GX002-31-7845435,flemish,True
VXDPZ,FR941122-0-00087,observatory,True
VXDPZ,FT922-13711,toddlers,True
VXDPZ,AP880312-0006,buffalo,True
VXDPZ,WTX018-B45-20,diets,True
VXDPZ,LA082989-0016,manipulation,False
VXDPZ,AP880706-0299,bucked,True
VXDPZ,WTX004-B09-278,griffor,False
VXDPZ,WTX069-B10-201,counter,True
VXDPZ,AP881026-0117,stood,True
VXDPZ,FT923-437,halfords,True
VXDPZ,LA060590-0046,treatment,True
VXDPZ,AP880530-0182,spanish,True
VXDPZ,FR940505-1-00242,draws,True
VXDPZ,FT942-4421,crestone,True
VXDPZ,WTX093-B47-244,sown,False
VXDPZ,FR940817-2-00019,bouquets,True
DDSCR,WTX018-B20-194,choo,False
DDSCR,AP890308-0220,thread,True
DDSCR,AP890424-0284,participatory,True
DDSCR,FR940318-0-00101,lauea,False
DDSCR,FR940511-0-00062,meehan,True
DDSCR,AP880502-0077,mackinac,True
DDSCR,AP891127-0132,drexel,True
DDSCR,AP890927-0033,fiddleheads,True
DDSCR,AP891218-0158,bathsheba,False
DDSCR,FT942-3471,immelt,False
DDSCR,WTX020-B20-176,shares,False
UOPBK,WTX018-B20-194,fl,True
UOPBK,FT941-10100,b2,True
UOPBK,WTX047-B39-305,formaldehyde,False
UOPBK,FBIS4-33117,broker,True
UOPBK,AP881121-0106,elektra,True
