AP880215-0223,134,ap
AP880215-0223,135,ap
AP880215-0223,198,ap
AP880216-0127,111,ap
AP880216-0127,127,ap
AP880220-0009,181,ap
AP880220-0125,114,ap
AP880221-0034,166,ap
AP880223-0026,150,ap
AP880225-0196,189,ap
AP880226-0015,200,ap
AP880226-0220,103,ap
AP880226-0220,185,ap
AP880226-0220,186,ap
AP880302-0232,180,ap
AP880310-0226,189,ap
AP880310-0268,167,ap
AP880312-0006,142,ap
AP880312-0006,143,ap
AP880313-0097,187,ap
AP880318-0173,115,ap
AP880320-0047,126,ap
AP880321-0121,127,ap
AP880321-0151,146,ap
AP880321-0288,169,ap
AP880324-0305,172,ap
AP880324-0305,173,ap
AP880325-0087,176,ap
AP880325-0237,165,ap
AP880326-0137,194,ap
AP880401-0072,148,ap
AP880401-0284,189,ap
AP880409-0174,144,ap
AP880409-0180,142,ap
AP880411-0049,189,ap
AP880413-0234,199,ap
AP880414-0285,195,ap
AP880418-0006,130,ap
AP880420-0181,127,ap
AP880420-0258,187,ap
AP880421-0011,118,ap
AP880421-0011,119,ap
AP880421-0011,138,ap
AP880421-0122,156,ap
AP880421-0122,158,ap
AP880421-0166,188,ap
AP880421-0310,195,ap
AP880423-0081,103,ap
AP880423-0081,185,ap
AP880428-0135,148,ap
AP880428-0135,182,ap
AP880502-0077,130,ap
AP880502-0077,145,ap
AP880510-0175,138,ap
AP880513-0101,101,ap
AP880513-0101,102,ap
AP880513-0101,113,ap
AP880513-0101,114,ap
AP880521-0028,133,ap
AP880528-0031,144,ap
AP880530-0182,194,ap
AP880531-0026,127,ap
AP880601-0222,130,ap
AP880603-0173,125,ap
AP880603-0173,165,ap
AP880603-0173,172,ap
AP880603-0173,173,ap
AP880604-0024,142,ap
AP880604-0024,143,ap
AP880606-0073,151,ap
AP880608-0215,164,ap
AP880609-0179,129,ap
AP880609-0179,149,ap
AP880610-0043,118,ap
AP880610-0043,119,ap
AP880613-0034,157,ap
AP880614-0056,165,ap
AP880614-0056,183,ap
AP880617-0289,108,ap
AP880617-0289,141,ap
AP880617-0289,142,ap
AP880618-0079,181,ap
AP880622-0299,197,ap
AP880622-0316,184,ap
AP880623-0294,174,ap
AP880627-0153,142,ap
AP880629-0144,125,ap
AP880629-0144,197,ap
AP880629-0144,199,ap
AP880630-0145,149,ap
AP880701-0042,188,ap
AP880702-0133,144,ap
AP880706-0138,137,ap
AP880706-0138,187,ap
AP880706-0299,157,ap
AP880706-0326,183,ap
AP880711-0175,172,ap
AP880711-0175,191,ap
AP880713-0031,103,ap
AP880713-0031,156,ap
AP880713-0031,185,ap
AP880713-0031,199,ap
AP880718-0115,147,ap
AP880721-0095,125,ap
AP880721-0095,172,ap
AP880721-0095,173,ap
AP880723-0185,169,ap
AP880725-0117,121,ap
AP880725-0117,122,ap
AP880725-0117,123,ap
AP880725-0117,124,ap
AP880725-0117,135,ap
AP880725-0117,160,ap
AP880725-0117,198,ap
AP880726-0143,152,ap
AP880727-0195,135,ap
AP880727-0195,198,ap
AP880728-0157,148,ap
AP880801-0121,180,ap
AP880802-0073,178,ap
AP880802-0131,151,ap
AP880803-0103,110,ap
AP880809-0056,163,ap
AP880809-0056,167,ap
AP880811-0157,156,ap
AP880823-0008,116,ap
AP880823-0204,162,ap
AP880825-0156,118,ap
AP880825-0156,119,ap
AP880825-0156,120,ap
AP880825-0236,108,ap
AP880825-0236,141,ap
AP880827-0141,183,ap
AP880829-0248,141,ap
AP880908-0152,194,ap
AP880908-0188,161,ap
AP880914-0112,155,ap
AP880916-0032,142,ap
AP880916-0032,179,ap
AP880917-0104,148,ap
AP880920-0044,166,ap
AP880920-0044,186,ap
AP880920-0044,191,ap
AP880920-0161,146,ap
AP880929-0138,143,ap
AP880930-0069,138,ap
AP881001-0081,150,ap
AP881013-0147,193,ap
AP881020-0180,178,ap
AP881024-0053,189,ap
AP881026-0117,193,ap
AP881027-0126,153,ap
AP881027-0186,144,ap
AP881029-0101,156,ap
AP881104-0070,199,ap
AP881104-0104,111,ap
AP881111-0167,163,ap
AP881116-0010,159,ap
AP881118-0110,130,ap
AP881118-0110,140,ap
AP881119-0060,144,ap
AP881121-0106,199,ap
AP881123-0283,162,ap
AP881124-0125,110,ap
AP881129-0210,145,ap
AP881129-0210,155,ap
AP881204-0007,119,ap
AP881206-0088,189,ap
AP881206-0121,137,ap
AP881209-0034,160,ap
AP881213-0156,143,ap
AP890104-0157,119,ap
AP890107-0063,151,ap
AP890107-0088,146,ap
AP890123-0224,144,ap
AP890126-0068,189,ap
AP890127-0050,152,ap
AP890128-0016,150,ap
AP890202-0004,110,ap
AP890202-0029,190,ap
AP890202-0227,159,ap
AP890202-0234,176,ap
AP890205-0052,110,ap
AP890205-0052,180,ap
AP890209-0263,191,ap
AP890211-0142,121,ap
AP890218-0025,110,ap
AP890226-0022,166,ap
AP890227-0287,147,ap
AP890228-0135,151,ap
