101,design
101,of
101,the
101,star
101,wars
101,anti
101,missile
101,defense
101,system
102,laser
102,research
102,applicable
102,to
102,the
102,us
102,s
102,strategic
102,defense
102,initiative
103,welfare
103,reform
104,catastrophic
104,health
104,insurance
105,black
105,monday
106,us
106,control
106,of
106,insider
106,trading
107,japanese
107,regulation
107,of
107,insider
107,trading
108,japanese
108,protectionist
108,measures
109,find
109,innovative
109,companies
110,topic
110,black
110,resistance
110,against
110,the
110,south
110,african
110,government
111,nuclear
111,proliferation
112,funding
112,biotechnology
113,new
113,space
113,satellite
113,applications
114,non
114,commercial
114,satellite
114,launches
115,impact
115,of
115,the
115,1986
115,immigration
115,law
116,generic
116,drug
116,substitutions
117,capacity
117,of
117,the
117,us
117,cellular
117,telephone
117,network
118,international
118,terrorists
119,actions
119,against
119,international
119,terrorists
120,economic
120,impact
120,of
120,international
120,terrorism
121,death
121,from
121,cancer
122,rdt
122,e
122,of
122,new
122,cancer
122,fighting
122,drugs
123,research
123,into
123,control
123,of
123,carcinogens
124,alternatives
124,to
124,traditional
124,cancer
124,therapies
125,anti
125,smoking
125,actions
125,by
125,government
126,medical
126,ethics
126,and
126,modern
126,technology
127,us
127,ussr
127,arms
127,control
127,agreements
128,privatization
128,of
128,state
128,assets
129,soviet
129,spying
129,on
129,the
129,us
130,jewish
130,emigration
130,and
130,us
130,ussr
130,relations
131,mcdonnell
131,douglas
131,contracts
131,for
131,military
131,aircraft
132,stealth
132,aircraft
133,hubble
133,space
133,telescope
134,the
134,human
134,genome
134,project
135,possible
135,contributions
135,of
135,gene
135,mapping
135,to
135,medicine
136,diversification
136,by
136,pacific
136,telesis
137,expansion
137,in
137,the
137,us
137,theme
137,park
137,industry
138,iranian
138,support
138,for
138,lebanese
138,hostage
138,takers
139,iran
139,s
139,islamic
139,revolution
139,domestic
139,and
139,foreign
139,social
140,political
140,impact
140,of
140,islamic
140,fundamentalism
141,japan
141,s
141,handling
141,of
141,its
141,trade
141,surplus
141,with
141,the
141,us
142,impact
142,of
142,government
142,regulated
142,grain
142,farming
142,on
142,international
143,why
143,protect
143,us
143,farmers
144,management
144,problems
144,at
144,the
144,united
144,nations
145,influence
145,of
145,the
145,pro
145,israel
145,lobby
146,negotiating
146,an
146,end
146,to
146,the
146,nicaraguan
146,civil
146,war
147,productivity
147,trends
147,in
147,the
147,us
147,economy
148,conflict
148,in
148,the
148,horn
148,of
148,africa
149,industrial
149,espionage
150,us
150,political
150,campaign
150,financing
151,coping
151,with
151,overcrowded
151,prisons
152,accusations
152,of
152,cheating
152,by
152,contractors
152,on
152,us
152,defense
152,projects
153,insurance
153,coverage
153,which
153,pays
153,for
153,long
153,term
153,care
154,oil
154,spills
155,right
155,wing
155,christian
155,fundamentalism
155,in
155,us
156,efforts
156,to
156,enact
156,gun
156,control
156,legislation
157,causes
157,and
157,treatments
157,of
157,multiple
157,sclerosis
157,ms
158,term
158,limitations
158,for
158,members
158,of
158,the
158,us
158,congress
159,electric
159,car
159,development
160,vitamins
160,the
160,cure
160,for
160,or
160,cause
160,of
160,human
160,ailments
161,acid
161,rain
162,automobile
162,recalls
163,vietnam
163,veterans
163,and
163,agent
163,orange
164,generic
164,drugs
164,illegal
164,activities
164,by
164,manufacturers
165,tobacco
165,company
165,advertising
165,and
165,the
165,young
166,standardized
166,testing
166,and
166,cultural
166,bias
167,regulation
167,of
167,the
167,showing
167,of
167,violence
167,and
167,explicit
167,sex
167,in
167,motion
167,picture
167,theaters
167,on
167,television
167,and
167,on
167,video
167,cassettes
168,financing
168,amtrak
169,cost
169,of
169,garbage
169,trash
169,removal
170,the
170,consequences
170,of
170,implantation
170,of
170,silicone
170,gel
170,breast
170,devices
171,use
171,of
171,mutual
171,funds
171,in
171,an
171,individual
171,s
171,retirement
171,strategy
172,the
172,effectiveness
172,of
172,medical
172,products
172,and
172,Related
172,Programs
172,Utilized
172,in
172,the
172,Cessation
172,of
172,Smoking
173,smoking
173,bans
174,hazardous
174,waste
174,cleanup
175,nra
175,prevention
175,of
175,gun
175,control
175,legislation
176,real
176,life
176,private
176,investigators
177,english
177,as
177,the
177,official
177,language
177,in
177,us
178,dog
178,maulings
179,u
179,s
179,restaurants
179,in
179,foreign
179,lands
180,ineffectiveness
180,of
180,us
180,embargoes
180,sanctions
181,abuse
181,of
181,the
181,elderly
181,by
181,family
181,members
181,and
181,medical
181,and
181,Nonmedical
181,Personnel
181,and
181,Initiatives
181,Being
181,Taken
181,to
181,Minimize
181,This
181,mistreatment
182,commercial
182,overfishing
182,creates
182,food
182,fish
182,deficit
183,asbestos
183,related
183,lawsuits
184,corporate
184,pension
184,plans
184,funds
185,reform
185,of
185,the
185,us
185,welfare
185,system
186,difference
186,of
186,learning
186,levels
186,among
186,inner
186,City
186,and
186,More
186,Suburban
186,School
186,Students
187,signs
187,of
187,the
187,demise
187,of
187,independent
187,publishing
188,beachfront
188,erosion
189,real
189,motives
189,for
189,murder
190,instances
190,of
190,fraud
190,involving
190,the
190,use
190,of
190,a
190,computer
191,efforts
191,to
191,improve
191,us
191,schooling
192,oil
192,spill
192,cleanup
193,toys
193,r
193,dangerous
194,the
194,amount
194,of
194,money
194,earned
194,by
194,writers
195,stock
195,market
